Rank,Name,Score,Avatar
1,xiaowuc1,1055,https://avatars3.githubusercontent.com/u/3413714?v=4
2,betaveros (AoC++),963,https://avatars0.githubusercontent.com/u/3482833?v=4
3,Robert Xiao,951,https://avatars3.githubusercontent.com/u/75449?v=4
4,ecnerwala,950,https://avatars0.githubusercontent.com/u/7088371?v=4
5,nthistle,947,https://avatars1.githubusercontent.com/u/11429656?v=4
6,goffrie,941,https://avatars2.githubusercontent.com/u/1240398?v=4
6,tckmn,941,https://avatars1.githubusercontent.com/u/2389333?v=4
8,Linus Hamilton,909,https://lh3.googleusercontent.com/a-/AOh14GiNEFkbEjJ2JrC62o1gOh2INe19uAN8HESQ7jJr=s96-c
9,Sophie Alpert (AoC++),906,http://pbs.twimg.com/profile_images/1174863858332102656/SwClbJcA.jpg
10,(anonymous user #193354),899,
11,Lewin Gan,853,https://lh5.googleusercontent.com/-F_vzHkxotTQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclO_o5dt2fjH563dT8C15RtnC4eFA/s96-c/photo.jpg
12,Tris Emmy Wilson (AoC++),815,https://lh3.googleusercontent.com/-dl3CqQpW5Mk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclNBsf-JUZLY5NpWFU24vkHkHSz-Q/s96-c/photo.jpg
13,Martin Camacho (AoC++),749,https://avatars0.githubusercontent.com/u/461009?v=4
14,Christopher Lambert,675,https://lh3.googleusercontent.com/a-/AOh14GjecAK0Sp7LBpVMKpMyjE9Enu2urXK-H7hySqOj=s96-c
15,Oliver Ni,657,https://avatars3.githubusercontent.com/u/20295134?v=4
16,Jonathan Paulson (AoC++),615,https://lh3.googleusercontent.com/a-/AOh14Ggwcytj2hCn-TJFkrgFQ-KcWLC7bW_On-p9QWbuuw=s96-c
17,ZED.Charley William Thairo,609,https://avatars1.githubusercontent.com/u/7867810?v=4
18,arknave (AoC++),606,https://avatars0.githubusercontent.com/u/1834647?v=4
19,George Hotz,587,https://avatars1.githubusercontent.com/u/72895?v=4
20,Kevin Sun,585,https://lh3.googleusercontent.com/a-/AOh14Gh4eBsex0txh48Qy-DbpE4hDAfLdaKiGijGNjLzWg=s96-c
21,petertseng (AoC++),581,https://avatars2.githubusercontent.com/u/346181?v=4
22,Zeyu Chen,577,https://avatars2.githubusercontent.com/u/13069724?v=4
22,leijurv,577,https://avatars1.githubusercontent.com/u/3837873?v=4
24,mcpower,574,http://pbs.twimg.com/profile_images/540516549035978752/uxSXOmKr.png
25,bluepichu,568,https://avatars3.githubusercontent.com/u/1878074?v=4
26,m-schm,560,https://avatars2.githubusercontent.com/u/55513173?v=4
