Rank,Name,Score,Link,Avatar
1,xiaowuc1,961,https://github.com/xiaowuc1,https://avatars.githubusercontent.com/u/3413714?v=4
2,jonathanpaulson (AoC++),860,https://github.com/jonathanpaulson,https://avatars.githubusercontent.com/u/1028734?v=4
3,Ian DeHaan,797,,https://lh3.googleusercontent.com/a/ACg8ocLSxYdqajdcUBda4XNBFYI7luQ2B68xSFZI1TtZvJEE=s96-c
4,dan-simon,795,,https://avatars.githubusercontent.com/u/20461551?v=4
5,5space,781,https://github.com/5space,https://avatars.githubusercontent.com/u/20777336?v=4
6,Carl Schildkraut,751,,https://lh3.googleusercontent.com/a/ACg8ocIHXu2AEsPOyTM4Zlzc8J3oiI4YxmIkQUQJNW_K2hOxZQ=s96-c
7,Anish Singhani (AoC++),710,https://github.com/asinghani,https://avatars.githubusercontent.com/u/12376116?v=4
8,boboquack,696,,https://avatars.githubusercontent.com/u/29158942?v=4
9,hyper-neutrino,674,https://github.com/hyper-neutrino,https://avatars.githubusercontent.com/u/25677805?v=4
10,nthistle (AoC++) (Sponsor),656,https://github.com/nthistle,https://avatars.githubusercontent.com/u/11429656?v=4
11,mserrano,655,,https://avatars.githubusercontent.com/u/178065?v=4
12,Antonio Molina (Sponsor),647,,https://lh3.googleusercontent.com/a/ACg8ocJdhI-sXd6G9P53ixK1raZ6rMp50TPdQ9XISV8QmMT3=s96-c
13,Robert Xiao,646,https://github.com/nneonneo,https://avatars.githubusercontent.com/u/75449?v=4
14,leijurv,617,https://github.com/leijurv,https://avatars.githubusercontent.com/u/3837873?v=4
15,Nordine Lotfi,595,https://github.com/secemp9,https://avatars.githubusercontent.com/u/71677764?v=4
16,tckmn,572,https://github.com/tckmn,https://avatars.githubusercontent.com/u/2389333?v=4
17,D. Salgado,570,,https://lh3.googleusercontent.com/a/ACg8ocKpFMUtxM9UwJ_KRpKFMjqZoSAQiQg5Ri1aOw78RsOW=s96-c
18,Noble Mushtak,549,https://github.com/Noble-Mushtak,https://avatars.githubusercontent.com/u/11696563?v=4
18,bluepichu,549,https://github.com/bluepichu,https://avatars.githubusercontent.com/u/1878074?v=4
20,Oliver Ni (AoC++),548,https://github.com/oliver-ni,https://avatars.githubusercontent.com/u/20295134?v=4
21,eniraa,541,https://github.com/eniraa,https://avatars.githubusercontent.com/u/47072520?v=4
21,Neal Wu,541,https://github.com/nealwu,https://avatars.githubusercontent.com/u/726075?v=4
23,(anonymous user #1510407),523,,
24,Davis Yoshida (AoC++),516,,https://lh3.googleusercontent.com/a/ACg8ocLMTe3JmzXtPp7ZbJe82UogxfEYSFJdciPMQ0scE0l6FIs=s96-c
25,ruuddotorg,508,,https://avatars.githubusercontent.com/u/3401028?v=4
26,Lewin Gan,501,,https://lh3.googleusercontent.com/a/ACg8ocLkaTx-xeYBTj4cnHw43YPder9KFz2PZqdi6Ni_vIMs=s96-c
27,tung491,486,,https://avatars.githubusercontent.com/u/29272893?v=4
28,Joseph Durie,481,,https://lh3.googleusercontent.com/a/ACg8ocJ-7Yn-nla080uJcx5M1XBhDJvONdec0-zxvVVHzHVA=s96-c
29,(anonymous user #3487639),463,,
30,(anonymous user #1759814),457,,
31,Balint R,445,,https://lh3.googleusercontent.com/a/ACg8ocIBAQf5IfxEgTg_kJnfF3Uf0ihIeR-2zHhMDLpqH15T3w=s96-c
32,(anonymous user #1556836),433,,
33,Oskar Haarklou Veileborg (AoC++),410,https://github.com/BarrensZeppelin,https://avatars.githubusercontent.com/u/2784791?v=4
34,LegionMammal978,402,https://github.com/LegionMammal978,https://avatars.githubusercontent.com/u/7880963?v=4
35,Jasper van Merle (AoC++),396,https://github.com/jmerle,https://avatars.githubusercontent.com/u/14951909?v=4
36,(anonymous user #1508761),391,,
37,grhkm21,389,https://github.com/grhkm21,https://avatars.githubusercontent.com/u/83517584?v=4
38,bcc32 (AoC++) (Sponsor),388,https://github.com/bcc32,https://avatars.githubusercontent.com/u/1239097?v=4
39,Shawn Hagler,383,,https://avatars.githubusercontent.com/u/56650507?v=4
40,Kevin Sheng,381,,https://lh3.googleusercontent.com/a/ACg8ocLJd1sL17FoL1Is5AtKu9EIAHwRy8EWny08zhTqY_rYaUs=s96-c
41,Angelica Naguio,379,,https://avatars.githubusercontent.com/u/78905359?v=4
42,PoustouFlan,377,https://github.com/PoustouFlan,https://avatars.githubusercontent.com/u/63681229?v=4
43,Anango Prabhat,375,,https://lh3.googleusercontent.com/a/ACg8ocLIWLngOWiq8MdPbHh_DMTxwrGqR6ZCHB5L0UtVpqQ4Fw=s96-c
44,Yoshiap,374,,https://avatars.githubusercontent.com/u/575555?v=4
44,S. Teikn Smith,374,https://github.com/teiknsmith,https://avatars.githubusercontent.com/u/24767662?v=4
46,qpwoeirut,370,https://github.com/qpwoeirut,https://avatars.githubusercontent.com/u/19750159?v=4
47,Craig Gidney,351,https://github.com/Strilanc,https://avatars.githubusercontent.com/u/79941?v=4
47,Erik Amirell Eklöf (AoC++),351,https://github.com/Eae02,https://avatars.githubusercontent.com/u/23399946?v=4
49,Egor Kulikov (AoC++) (Sponsor),338,,https://lh3.googleusercontent.com/a/ACg8ocJcJoNsWbdBM2ackQ3NCwsezaOg421nyQfyOFUMseilwO0=s96-c
50,Justin Yokota,336,,https://lh3.googleusercontent.com/a/ACg8ocIkMy52x2zaghVEdfOSzn6WQqQm20HYJtYFPcfs3Zl9=s96-c
51,mrphlip (AoC++),334,https://github.com/mrphlip,https://avatars.githubusercontent.com/u/734414?v=4
52,Dominick Han (AoC++),333,https://github.com/dominick-han,https://avatars.githubusercontent.com/u/11525517?v=4
53,Mathis Hammel (AoC++),326,,https://lh3.googleusercontent.com/a/ACg8ocL7fx6jtC3ifTYISFZD0K8ISLRtreeIzA324-nxf8Va=s96-c
54,Gabriel Wu (AoC++),324,https://github.com/lucifer1004,https://avatars.githubusercontent.com/u/13583761?v=4
55,Starwort,323,https://github.com/Starwort,https://avatars.githubusercontent.com/u/16487249?v=4
56,zacharybarbanell,321,https://github.com/zacharybarbanell,https://avatars.githubusercontent.com/u/16473311?v=4
57,scanhex,315,https://github.com/scanhex,https://avatars.githubusercontent.com/u/44344009?v=4
57,Ryan Hitchman (AoC++),315,https://github.com/rmmh,https://avatars.githubusercontent.com/u/211868?v=4
59,Thomas Feld,309,,https://lh3.googleusercontent.com/a/ACg8ocKMw_hMbtmRmrO0OZYoLqyrDmjVgqRBsEkAtEYuxmgE7A=s96-c
60,Zeyu Chen,300,https://github.com/zecookiez,https://avatars.githubusercontent.com/u/13069724?v=4
61,nim-ka,296,https://github.com/nim-ka,https://avatars.githubusercontent.com/u/35317534?v=4
62,Kevin Yap (AoC++),283,https://github.com/iKevinY,https://avatars.githubusercontent.com/u/2434728?v=4
